"poa_2006","geoscience_australia_lambert_area_km2","geocentx","geocenty"
"2000",3.39632899365234,1578928.81430138,-3922680.10847689
"2006",0.699553124023438,1576673.94832465,-3924708.78812969
"2007",0.571239492675781,1577793.87915896,-3924026.09811091
"2008",1.1914700625,1577645.55342863,-3924934.67766528
"2018",2.71271410986328,1577937.26082719,-3928665.38522316
"2019",9.27249960302734,1577833.9361258,-3931559.30423117
"2009",1.202374796875,1577678.00860984,-3922903.33162076
"2010",2.13065983984375,1579324.35227462,-3924458.08388487
"2020",8.69271990039062,1575833.81069081,-3930316.56468816
"3770",135.243230939209,1011739.79919618,-4286951.07277037
"2011",1.78936452441406,1580135.15089745,-3923244.85885183
"3775",189.733809114014,1008933.08523355,-4276842.57918642
"3777",491.319171100098,1020866.67273108,-4269792.99135008
"3778",304.125600274414,1032345.75287945,-4261991.3002217
"3779",9.98316454296875,1047751.12464614,-4268350.10818207
"3781",57.4246587617188,1018610.96227384,-4311095.94936302
"3782",67.791872734375,1014031.97530639,-4307481.22381942
"3783",174.699258990479,1029437.99440862,-4315115.94135625
"4017",21.9009646376953,1855346.94244824,-3235960.66194309
"2015",3.95141130712891,1576817.10913989,-3927269.87621622
"2016",1.19190608349609,1578362.3602945,-3925552.29281102
"2017",1.89952690771484,1578347.39755612,-3926657.96807325
"4699",1.71614773583984,1675320.62864464,-2805261.08039064
"4700",43.095742546875,1688410.30817364,-2764785.75476112
"2021",3.6424725625,1580100.63681953,-3925489.74403846
"2045",2.35899908544922,1572539.62634411,-3923059.10919828
"2046",5.98179696728516,1572088.05722081,-3921098.81608717
"2022",1.36865402050781,1582311.31703528,-3926178.94863814
"2032",2.67618045410156,1580000.6410835,-3929481.8626649
"2023",2.03206996582031,1583049.78969643,-3924935.80873014
"2033",2.56950605322266,1579362.69055995,-3927938.79316069
"2034",2.89429376855469,1582291.63060714,-3929573.2458467
"2035",6.73436236425781,1580762.86877659,-3931508.89140183
"2036",15.2358801606445,1580178.85232792,-3934531.12843044
"2024",2.43985855273437,1582956.30259571,-3927254.32748959
"2038",1.39233333056641,1575328.93299072,-3923793.51175406
"2025",1.23099623828125,1581861.4027544,-3925328.80597306
"2026",3.60146615332031,1584446.15240079,-3925961.70386985
"2027",1.54109480371094,1581803.54139,-3923757.78316001
"2042",1.8890993984375,1575695.96563308,-3925813.6496898
"2047",2.22157347753906,1574096.90734439,-3920432.63954917
"2028",0.855293688476563,1582192.13107442,-3924307.36466468
"2043",1.16421628515625,1576558.43999869,-3926124.00262481
"4701",277.640008285645,1676147.55931538,-2775495.65472434
"4702",56412.0386663577,1480642.57973875,-2798114.8087244
"4703",804.323060416016,1689884.17806591,-2727459.85386399
"4705",4436.19034746362,1586493.5260438,-2672661.6151951
"4706",1904.49875115015,1582001.40099739,-2705304.6516752
"4707",3258.78772753198,1548286.39979525,-2674166.93528691
"2029",2.57245644433594,1584319.10292909,-3924241.10607926
"2030",4.55507520898438,1585473.63442666,-3922529.5604038
"2031",8.08641625830078,1581301.19838155,-3927955.53110826
"3813",3.01796213916016,1025678.98641025,-4329617.76359009
"3814",118.375219710938,1028395.53887369,-4331679.56022496
"3815",129.305065419922,1031448.38483046,-4329119.53358355
"2037",2.21664471826172,1576620.61032372,-3923700.99363738
"2048",1.21738162792969,1574698.7304821,-3925045.67108588
"3816",369.747524646973,1043841.31620833,-4321509.20844158
"3818",317.717669783691,1042623.78323193,-4341661.41001364
"3820",61.1193861489258,1051467.89502156,-4342709.39691752
"3821",258.120942972656,1053217.57168689,-4345013.70425197
"2039",2.0105221484375,1575802.39988935,-3921911.10413954
"2312",2.02303988818359,1714849.35562294,-3745324.02288267
"2315",17.9177274443359,1682909.82950055,-3810878.36956105
"2316",6.09505344238281,1677319.5483119,-3815881.60768721
"2040",4.71086105566406,1574151.84106542,-3923199.9612901
"2041",2.3222260234375,1576693.82739539,-3921236.46136906
"2317",3.01850606640625,1675811.71437189,-3808288.45653809
"2318",300.696501719238,1660805.09173964,-3813591.96214445
"2319",10.7544611181641,1670495.59642087,-3809458.45144452
"2320",122.358867246582,1626560.16723195,-3801333.20333896
"2321",309.073189827148,1639615.73582759,-3798748.43502787
"2322",154.666005765625,1634120.23380592,-3814190.59729193
"2323",92.1264482792969,1622503.09979876,-3817921.7409526
"2324",617.693343456543,1669885.43392192,-3799706.23388782
"2325",902.895780989746,1599112.08028573,-3822207.59902444
"2326",60.065758746582,1617882.37048169,-3808404.5337453
"2044",3.68846675195313,1574493.29995746,-3928113.8634869
"2049",2.00227461328125,1573423.85305358,-3925087.89173073
"2050",0.752523271484375,1575748.50078733,-3924759.95910142
"2060",2.40003843310547,1578967.52191403,-3919685.84878802
"2663",21.7631351958008,1236072.10060523,-3992215.22740622
"2665",4037.15996048535,1180426.6980802,-3921388.47844754
"2666",2794.04024104004,1238122.5941638,-3945108.70449517
"2668",502.90512840918,1233995.74531543,-3902844.3940199
"2669",8606.33493471509,1152064.26192038,-3862105.46074173
"2061",0.707648111816406,1579783.80278754,-3920628.59491622
"2671",2661.38078522412,1221758.67952593,-3860986.13803957
"2672",2393.93829790869,1148396.24889261,-3810198.31323766
"2675",7581.85521906885,1042666.92254544,-3818484.40799435
"2680",3131.61949283618,1082385.80289661,-3913110.5744309
"2681",114.459239044189,1114363.21942366,-3905164.66587078
"2700",3849.48277947485,1107855.90898319,-3983840.1501956
"2062",1.43687544189453,1580149.98350395,-3917909.47951022
"2063",2.81852366992188,1580645.64971224,-3916704.83031063
"4709",7.79100803515625,1453756.57457879,-2709771.61483386
"4710",43.5293969702148,1695503.41685644,-2762632.29097686
"2064",2.68159929394531,1577702.55560632,-3916340.17704478
"2065",5.72998949121094,1578327.29460447,-3918091.3173076
"2066",9.500090375,1575455.64507175,-3916591.58638428
"2067",7.28930055224609,1576660.48998383,-3914555.39388377
"2068",5.58577391699219,1579950.46058056,-3915355.72768411
"2069",7.08652105419922,1579031.16390392,-3913336.22989886
"2070",6.97409090673828,1576802.09773609,-3912357.48450308
"2071",8.51499935546875,1576690.9960246,-3910878.81169586
"2079",5.28987825927734,1573451.10360514,-3899349.70566657
"2072",3.80022571679687,1575615.3488755,-3909807.50085033
"2073",9.59931184570313,1574116.83488869,-3909182.88370536
"2074",21.7665774663086,1574920.30303999,-3904885.82051727
"2075",17.5799979213867,1577706.48516571,-3906280.58542848
"2076",15.747456793457,1572787.86199729,-3905094.4075592
"2077",23.5617001831055,1572103.87174546,-3900813.65478046
"2107",7.84471438476563,1593067.12569454,-3898516.06246129
"2108",36.258058746582,1587960.22107404,-3895226.4050448
"5331",8.97034338183594,581329.571560395,-3868158.84082351
"2080",2.75181768603516,1575024.74891337,-3898670.46128093
"2081",9.3331700546875,1576476.72941204,-3895437.98345219
"2109",1.927643140625,1571744.3205633,-3911114.02250282
"2110",4.08843464013672,1574047.0324707,-3918131.7444299
"2111",5.07703798925781,1572127.75122828,-3917607.64913974
"2112",8.63407707226562,1570781.75182645,-3915499.58949456
"2113",9.68460597851563,1572908.93631139,-3913448.60073001
"2114",6.27044963183594,1568502.60621831,-3914615.07444542
"2726",3.30657023583984,1305147.57489823,-3994316.69641205
"2727",921.134112696777,1304507.29897275,-4014740.42399873
"2729",1077.8397177041,1269119.21797736,-4039558.55210523
"2730",538.841360837402,1269214.5549659,-4064434.20183914
"2731",1659.95077371069,957347.29539947,-4074335.6743173
"2732",1605.13883638599,921724.314923516,-4028582.1304887
"2082",6.65637238964844,1576314.0095529,-3893849.70650817
"2083",130.402913418945,1583188.90566928,-3888684.97192581
"2084",73.9649156586914,1582641.91004385,-3900397.05346985
"2085",28.7504774267578,1583348.79181276,-3906655.57182419
"2086",8.95113667480469,1582210.81374414,-3910233.49721024
"2087",7.53994640771484,1580899.0518468,-3911749.6657988
"2088",8.45099200683594,1582830.73259064,-3919033.36319841
"2089",1.52030480273438,1580317.73801156,-3919436.82988018
"2090",2.20588326708984,1581168.04024691,-3918912.38019077
"2092",3.06092039208984,1583122.17187135,-3914957.30950998
"2093",7.22874819433594,1584829.14618728,-3915523.92249054
"2733",4196.54240921314,900937.242476224,-3963820.88549541
"2734",681.039445145508,858223.98898296,-3943164.84453296
"2735",272.77481473291,862529.930264023,-3983720.34683271
"2736",284.109619043945,854700.594694612,-3969946.50095692
"2737",2558.54161424512,809985.104656427,-3907295.00553096
"2738",2504.03038101758,781754.3487686,-3881782.08687027
"2094",1.18338148828125,1585999.99412395,-3915580.20355217
"2095",5.534086828125,1587428.79217628,-3916968.95433255
"2096",3.21959876757813,1587393.58701299,-3913649.49054125
"2097",4.42637226513672,1588906.33125201,-3909231.4131911
"2099",13.805193175293,1587016.670924,-3909871.29861302
"2136",0.9818802421875,1568552.40974356,-3923864.61540582
"2137",6.96878601513672,1569587.25942187,-3920125.09515163
"2138",4.24884697021484,1568505.06044199,-3918328.34028651
"2100",13.3176832392578,1584834.28673125,-3912126.76529938
"2101",17.0936094892578,1587603.53522027,-3904206.20418639
"2102",5.22721857275391,1589316.82639963,-3904252.10469089
"2103",5.21509442041016,1590368.07949739,-3902955.98120697
"2104",2.55369563818359,1589623.80207863,-3901290.993425
"2105",2.31693238525391,1589026.72690018,-3899941.55153216
"2106",3.67711497363281,1591885.72582645,-3901110.32387701
"2115",3.89242648388672,1566338.72919561,-3914916.44349801
"2116",4.18170514013672,1564327.69404286,-3914592.96419021
"2117",7.16844185058594,1564736.41414638,-3912849.4432481
"2118",9.40430055615234,1565082.80065287,-3910869.39942515
"3008",2.92157360766602,967544.224874536,-4294871.08426678
"2119",6.83092664160156,1567549.75842742,-3908605.40105498
"2120",13.7261378588867,1568947.8483229,-3905739.62431524
"3010",0.548769026611328,969640.452727357,-4292582.03335164
"2121",9.02533571630859,1568802.55684393,-3910424.33570835
"2122",9.610519703125,1569584.5711912,-3912217.41955069
"2125",8.93369155126953,1564786.04281595,-3907594.39330823
"6067",11.9437530473633,-1692574.59897205,-3710282.71672408
"2126",8.30132343847656,1566292.58605247,-3904878.3746585
"2127",1.31550884033203,1565319.68482071,-3917806.22390166
"2128",0.81841469921875,1563945.7167181,-3917333.67036557
"2130",1.03938406347656,1572137.06707479,-3924568.67052444
"3694",7.45376601757812,1161101.76271734,-4126301.95063292
"3695",202.532143273437,1176476.00738599,-4148726.27651049
"3697",129.76361900293,1178113.24793143,-4185608.38029513
"2131",3.45720397265625,1571146.10607691,-3924116.75102479
"2132",2.47273657666016,1570292.26028078,-3922993.75617656
"2133",2.55567940234375,1568895.42864346,-3924705.15872689
"2134",2.35634771777344,1569223.5048491,-3922647.67533791
"2341",3.48754234423828,1564535.1111866,-3641150.95463415
"2342",468.91956425293,1566843.16189152,-3631697.32379714
"2343",4672.52907106543,1525006.85222659,-3656720.89702918
"2344",391.711729645996,1582699.09751821,-3629681.20283912
"2345",339.495504590332,1583724.75711547,-3593410.87559272
"2346",2534.65517530469,1592406.56008773,-3571694.25118772
"2135",7.5607372890625,1567195.59183734,-3922669.89021878
"2347",3000.13812634277,1572495.20850331,-3528250.59671325
"2350",4972.40909359375,1702265.72398022,-3566799.79307973
"2352",745.615140163574,1623875.30964334,-3629741.88933003
"2353",206.89283489502,1612556.39587986,-3606865.0712541
"2354",6646.66734396533,1670566.28691008,-3632664.81763556
"2355",177.075426133301,1617048.73972948,-3587031.25097478
"2356",985.988162608887,1421870.41288127,-3526690.70832479
"2357",2677.1908080542,1439279.05503979,-3620867.18724819
"2358",2532.80916664941,1639123.1031778,-3560217.52710661
"2359",1231.83398952051,1614710.31404746,-3507881.60489957
"2360",4029.16156096729,1629145.28888489,-3447294.3643278
"2361",2299.97340273535,1643327.1360769,-3408107.9059013
"2365",3208.93982345703,1683152.10462428,-3520413.04620135
"2140",4.24023393261719,1566925.54062035,-3920195.54183954
"2141",19.9340036357422,1565044.0758845,-3919520.88580485
"2369",723.667720827148,1653993.81155118,-3497096.56740224
"2370",4170.12554364697,1709904.99100869,-3477182.69950235
"2371",1747.93520498633,1697023.62195251,-3441253.077419
"2372",4434.46625412598,1726524.059634,-3406592.1562672
"2379",2007.84623582568,1490124.92866332,-3611464.66016247
"2380",3315.13647443115,1532669.41777187,-3597236.40221949
